Name,Reference,CPU,GPU,RAM,Storage,Refresh screen,Color,Price,Garentie,Availability
Pc Portable Gamer ASUS V16 V3607VJ ,[V3607VJ-RP086-W11P], Intel Core 5 210H , RTX 3050 6G , 8 Go DDR5 , 512 Go SSD ,144 Hz, Windows 11 Pro ,"2 429,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13U ,[B13UCX-2606XFR-W11P], I7-13620H , RTX 2050 4G , 8 Go , 512 Go SSD ,144 Hz, Windows 11 Pro ,"2 439,000 DT",1,En stock
PC Portable Gamer HP Victus Gaming Laptop 15-Fa1006nk ,[9U1B9EA-24-SAC], I5-13420H , 24 Go , 512 Go SSD , Windows 11 ,micro, Bleu,"2 439,000 DT",1,En stock
PC Portable Gamer HP Victus Gaming Laptop 15-Fa1006nk ,[9U1B9EA-24], I5-13420H , 24 Go , 512 Go SSD , Windows 11 ,micro, Bleu,"2 439,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13UDX ,[B13UDX-3258XFR-W11P], I5-13420H , RTX 3050 6G , 8 Go , 512 Go SSD ,144 Hz, Windows 11 Pro ,"2 449,000 DT",1,En stock
Pc Portable ASUS Vivobook S14 S3407QA ,[S3407QA-SF066W], Snapdragon X X1 26 100 , 16 Go , 1 To SSD , Windows 11 ,dalle IPS, Copilot+ ,"2 449,000 DT",1,En stock
Portable Gamer MSI Thin 15 B13UDX ,[BU-B13UDX-2686XFR-W11P], I5-13420H , RTX 3050 6G , 8 Go , 512 Go SSD ,144 Hz, Windows 11 Pro ,"2 455,000 DT",2,En stock
Pc Portable Gamer MSI Thin 15 B13U ,[B13UCX-2607XFR-24-W11P], I5-13420H , RTX 2050 4G , 24 Go , 512 Go SSD ,144 Hz, Windows 11 Pro ,"2 455,000 DT",1,En stock
"PC Portable Gamer ASUS Vivobook 16X I5-13420H 16GB 512SSD RTX30504GO W11 16"" WUXGA SILVER",[K3605VC-RP488W-16-SS],N/A,N/A,N/A,N/A,144 Hz,N/A,"2 485,000 DT",1,En stock
"PC Portable Gamer ASUS Vivobook 16X I5-13420H 16GB 512SSD RTX30504GO W11 16"" WUXGA BLACK",[K3605VC-RP405W-16-SS],N/A,N/A,N/A,N/A,144 Hz,N/A,"2 485,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13U ,[B13UCX-2606XFR-16-SS], I7-13620H , RTX 2050 4G , 16 Go , 512 Go SSD ,144 Hz, Gris Cosmos,"2 509,000 DT",1,En stock
PC Portable Gamer Lenovo LOQ 15IAX9E ,[83LK0075FG-2Y-32], I5-12450HX , RTX 2050 4G , 32 Go DDR5 , 512 Go SSD ,144 Hz, Gris,"2 509,000 DT",2,En stock
"PC Portable Gamer ASUS Vivobook 16X I5-13420H 16GB 512SSD RTX30504GO W11 16"" WUXGA SILVER + SAC A DOS",[K3605VC-RP488W-16],N/A,N/A,N/A,N/A,144 Hz,N/A,"2 529,000 DT",1,En stock
"PC Portable Gamer ASUS Vivobook 16X I5-13420H 16GB 512SSD RTX30504GO W11 16"" WUXGA BLACK + SAC A DOS",[K3605VC-RP405W-16],N/A,N/A,N/A,N/A,144 Hz,N/A,"2 529,000 DT",1,En stock
Pc Portable Gamer Lenovo LOQ 15IAX9 ,[83GS00UBFG-2Y], I5-12600HX , RTX 3050 6G , 8 Go DDR5 , 512 Go SSD ,antireflet, Windows 11 ,"2 529,000 DT",2,En stock
Pc Portable Gamer MSI Thin 15 B13UDX ,[B13UDX-3258XFR-16], I5-13420H , RTX 3050 6G , 16 Go , 512 Go SSD ,144 Hz, Gris,"2 539,000 DT",1,En stock
PC Portable ASUS TUF Gaming A15 FA506NF ,[FA506NF-HN005W-24], Ryzen 5 7535HS , RTX 2050 4G , 24 Go , Windows 11 ,N/A, Noir,"2 539,000 DT",1,En stock
Portable Gaming HP Victus Gaming 15-Fa2029nk ,[C65BCEA-16], I7-13620H , RTX 2050 4G , 16 Go , 512 Go SSD ,IPS, Windows 11 ,"2 549,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13U ,[B13UCX-2607XFR-32-SS], I5-13420H , RTX 2050 4G , 32 Go , 512 Go SSD ,144 Hz, Gris Cosmos,"2 559,000 DT",1,En stock
PC Portable Gamer Lenovo LOQ 15IAX9E ,[83LK0075FG-2Y-32-W11P], I5-12450HX , RTX 2050 4G , 32 Go DDR5 , 512 Go SSD ,144 Hz, Windows 11 Pro ,"2 559,000 DT",2,En stock
PC Portable Gamer Lenovo LOQ 15IAX9E ,[83LK006SFG-2Y-32], I5-12450HX , RTX 2050 4G , 32 Go DDR5 , 512 Go SSD ,144 Hz, Windows 11 ,"2 559,000 DT",2,En stock
Pc Portable Gamer MSI Thin 15 B13U ,[B13UCX-2606XFR-16], I7-13620H , RTX 2050 4G , 16 Go , 512 Go SSD ,144 Hz, Gris Cosmos Sac À Dos MSI Offert,"2 559,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13U ,[B13UCX-2606XFR-16-SSW11P], I7-13620H , RTX 2050 4G , 16 Go , 512 Go SSD ,144 Hz, Windows 11 Pro ,"2 559,000 DT",1,En stock
Pc Portable Gamer ASUS V16 V3607VJ ,[V3607VJ-RP086-20-SS], Intel Core 5 210H , RTX 3050 6G , 20 Go DDR5 , 512 Go SSD ,144 Hz, Noir,"2 589,000 DT",1,En stock
Pc Portable Gamer Lenovo LOQ 15IAX9 ,[83GS00SKFG-2Y-16], I5-12450HX , RTX 2050 4G , 16 Go DDR5 , 512 Go SSD ,antireflet, Windows 11 ,"2 599,000 DT",2,En stock
PC Portable Gamer HP Victus Gaming Laptop 15-Fa1006nk ,[9U1B9EA-32], I5-13420H , 32 Go , 512 Go SSD , Windows 11 ,micro, Bleu,"2 609,000 DT",1,En stock
Pc Portable Gamer HP Victus Gaming 15-Fa1007nk ,[9U175EA-32], I5-13420H , RTX 2050 4G , 32 Go , 512 Go SSD ,micro, Windows 11 ,"2 609,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13U ,[B13UCX-2606XFR-16W11P], I7-13620H , RTX 2050 4G , 16 Go , 512 Go SSD ,144 Hz, Windows 11 Pro ,"2 609,000 DT",1,En stock
Pc Portable Gamer HP Victus Gaming 15-Fa1007nk ,[9U175EA-32-SAC], I5-13420H , RTX 2050 4G , 32 Go , 512 Go SSD ,micro, Windows 11 ,"2 609,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13U ,[B13UCX-2607XFR-32], I5-13420H , RTX 2050 4G , 32 Go , 512 Go SSD ,144 Hz, Gris Cosmos Sac À Dos MSI Offert,"2 609,000 DT",1,En stock
PC Portable Gamer HP Victus Gaming Laptop 15-Fa1006nk ,[9U1B9EA-32-SAC], I5-13420H , 32 Go , 512 Go SSD , Windows 11 ,micro, Bleu,"2 609,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13UDX ,[B13UDX-3258XFR-16-W11P], I5-13420H , RTX 3050 6G , 16 Go , 512 Go SSD ,144 Hz, Windows 11 Pro ,"2 619,000 DT",1,En stock
Pc Portable Gamer ASUS V16 V3607VJ ,[V3607VJ-RP086-20], Intel Core 5 210H , RTX 3050 6G , 20 Go DDR5 , 512 Go SSD ,144 Hz, Noir,"2 629,000 DT",1,En stock
Pc Portable Gamer ASUS V16 V3607VJ ,[V3607VJ-RP086-16-SS], Intel Core 5 210H , RTX 3050 6G , 16 Go DDR5 , 512 Go SSD ,144 Hz, Noir,"2 639,000 DT",1,En stock
Pc Portable Gamer ASUS V16 V3607VJ ,[V3607VJ-RP086-20-W11P-SS], Intel Core 5 210H , RTX 3050 6G , 20 Go DDR5 , 512 Go SSD ,144 Hz, Windows 11 Pro ,"2 639,000 DT",1,En stock
PC Portable ASUS TUF Gaming A15 FA506NF ,[FA506NF-HN004-32], Ryzen 5 7535HS , RTX 2050 4G , 32 Go , Noir,N/A,N/A,"2 649,000 DT",1,En stock
